,lon,lat,Node,mean,std
8410140,-66.982315,44.9033,1034613,0.024781608243134426,0.38136231840475276
8413320,-68.203,44.393,1162475,-0.03326688360044214,0.18494706982914358
8418150,-70.245674,43.6567,1176249,-0.01928859358030671,0.19099680022185173
8419317,-70.56331,43.32,1182888,-0.009138328701928366,0.199378778536508
8443970,-71.03838,42.35392,991751,-0.05142852317160159,0.23622284053068252
8447930,-70.6717,41.5233,1268115,-0.14216421495230339,0.06572888114424866
8449130,-70.091286,41.285,1411509,-0.10523104719101162,0.17007035653395525
8461490,-72.0867,41.355,1052139,-0.12794710632864717,0.10406690786787108
8465705,-72.9125,41.2833,824413,-0.09510123157031425,0.1781183431972821
8467150,-73.1817,41.1733,730946,-0.11285136722701887,0.18230712087894926
8510560,-71.965,41.048,1395009,-0.16497461575180108,0.063451007266788
8516945,-73.767883,40.81031,950489,-0.10450988711058208,0.18133341173528195
8518750,-74.0142,40.699296000000004,1266674,-0.13020127956924454,0.07223644329443117
8531680,-74.01,40.4667,1449501,-0.15037589682483235,0.061277973797039434
8534720,-74.418,39.354,1562085,-0.19161445400054486,0.06196866037125818
8536110,-74.96365899999999,38.969112,1546015,,
8557380,-75.11916,38.785756,1540535,-0.16299266789139058,0.09699537313775579
8570283,-75.09167,38.32833,1579004,-0.19280565110509199,0.14917213514158925
8635750,-76.46444,37.996109999999994,1753697,-0.23268648524189883,0.06600571400711269
8638901,-76.083333,37.033333,1667208,-0.16361510127123588,0.035751913605592496
8651370,-75.74667,36.18333,1592136,-0.11517291335014812,0.0354826649016683
8656483,-76.671,34.72,1416194,-0.2237509778666267,0.07344445096722847
8658163,-77.784973,34.21331,1405214,-0.25898962955421817,0.07603486890184688
8661070,-78.916384,33.655,1350289,-0.19435020171240613,0.09417725309378025
8665530,-79.922178,32.7817,1236589,-0.219226557115727,0.11592178475938426
8670870,-80.9017,32.034612,1165583,-0.158454853126877,0.11782686369358346
8720030,-81.466768,30.6717,1152522,-0.10049046626747327,0.14531938992166385
8720218,-81.43,30.3967,1212537,-0.12437405307755012,0.07749647772797448
8721604,-80.59352700000001,28.41583,1251971,-0.1642599360383181,0.04846803121163415
8722670,-80.03416999999999,26.612779999999997,1302999,-0.28686992207660716,0.03277035270435175
8723214,-80.159,25.731154999999998,1160390,-0.26262713921619885,0.07177728903607389
8723970,-81.105,24.7138,843056,-0.21779565952051283,0.05506158039922874
8724580,-81.817,24.549,805177,-0.2696302895103552,0.03744117253491754
8725110,-81.8106,26.13167,677402,-0.2788341213238548,0.05918244961636079
8726724,-82.833,27.9783,642196,-0.2559919562262312,0.07705684564391681
8727520,-83.03089,29.1306,594808,-0.20518334165147403,0.09568501638196361
8729210,-85.88,30.211,549873,-0.2554976914834784,0.03438877088868056
8729840,-87.212,30.4015,506871,-0.3059240811061529,0.02301135757654493
8735180,-88.0732,30.25,551721,-0.32862020087625593,0.03233338189199172
8747437,-89.3241,30.326390000000004,310024,-0.2022879526209277,0.09961770089235497
8760721,-89.25831,29.178309999999996,598673,-0.04684191891356477,0.04209014244287179
8761305,-89.67898100000001,29.870579,296041,-0.23856074983644537,0.061274167217065224
8761724,-89.94894000000001,29.26333,593088,-0.17808513094420816,0.039655793765838436
8764314,-91.3839,29.3675,580635,-0.2788768841367257,0.121270372065861
8766072,-92.305,29.555,554724,,
8768094,-93.34289,29.76817,518411,-0.238178513236032,0.09303879776043206
8770822,-93.83978,29.68833,493081,-0.2590256687535771,0.10080042917063385
8772471,-95.295,28.935,449717,-0.27555590565029736,0.0464993028991901
8773767,-96.3301,28.4269,435844,-0.3066581462746299,0.08249591793382291
8775241,-97.03833,27.83667,435338,-0.350801876387175,0.03810794331698766
8775870,-97.2167,27.58,435421,-0.34864123309535505,0.03799779015461268
8779748,-97.166667,26.071667,476631,-0.35263313673273206,0.047994685773926626
